schema_version,input_group_id,width,input_index,fold,seed,input_bits_sha256,computed_root_bits,correct_root_bits,correctly_rounded,root_ulp_exponent,signed_error_root_ulp,absolute_error_root_ulp,cell_error_low_root_ulp,cell_error_high_root_ulp,q_all,q_inexact,q_corr4_all,q_corr4_inexact,b_all,b_inexact,b_all_strict_cell_certificate,b_inexact_strict_cell_certificate,addition_count,inexact_addition_count,inexact_fraction,inexact_energy_fraction,top8_energy_concentration,top8_inexact_energy_concentration,max_leaf_root_ratio,effective_leaf_count,q_all__zero_mean__mu_root_ulp,q_all__zero_mean__sigma_root_ulp,q_all__zero_mean__z,q_all__zero_mean__p_safe,q_all__zero_mean__prevalence_baseline,q_all__bias_aware__mu_root_ulp,q_all__bias_aware__sigma_root_ulp,q_all__bias_aware__z,q_all__bias_aware__p_safe,q_all__bias_aware__prevalence_baseline,q_inexact__zero_mean__mu_root_ulp,q_inexact__zero_mean__sigma_root_ulp,q_inexact__zero_mean__z,q_inexact__zero_mean__p_safe,q_inexact__zero_mean__prevalence_baseline,q_inexact__bias_aware__mu_root_ulp,q_inexact__bias_aware__sigma_root_ulp,q_inexact__bias_aware__z,q_inexact__bias_aware__p_safe,q_inexact__bias_aware__prevalence_baseline,q_corr4_all__zero_mean__mu_root_ulp,q_corr4_all__zero_mean__sigma_root_ulp,q_corr4_all__zero_mean__z,q_corr4_all__zero_mean__p_safe,q_corr4_all__zero_mean__prevalence_baseline,q_corr4_all__bias_aware__mu_root_ulp,q_corr4_all__bias_aware__sigma_root_ulp,q_corr4_all__bias_aware__z,q_corr4_all__bias_aware__p_safe,q_corr4_all__bias_aware__prevalence_baseline,q_corr4_inexact__zero_mean__mu_root_ulp,q_corr4_inexact__zero_mean__sigma_root_ulp,q_corr4_inexact__zero_mean__z,q_corr4_inexact__zero_mean__p_safe,q_corr4_inexact__zero_mean__prevalence_baseline,q_corr4_inexact__bias_aware__mu_root_ulp,q_corr4_inexact__bias_aware__sigma_root_ulp,q_corr4_inexact__bias_aware__z,q_corr4_inexact__bias_aware__p_safe,q_corr4_inexact__bias_aware__prevalence_baseline
1,w256_g000,256,0,0,898398919,a06b2305c563ec0b845aabfc97ff86d36f61cb7d56852895c73a4dfc1ac0920e,0x43bd4a19,0x43bd4a19,True,-15,-0.2866469917280483,0.2866469917280483,-0.5,0.5,0.22653166502506888,0.06986768593145475,0.6621705545005119,0.1485465620100267,4.4462722575699525,2.7034728841099467,False,False,255,229,0.8980392156862745,0.3084234865078262,0.8047072211582144,0.7081838478980013,0.08418486444181131,21.50911068886628,0.0,0.4798501991456121,-0.5973676623213494,0.7025845456294766,0.7516339869281046,0.021500323278478364,0.4793682819284194,-0.6428195744760186,0.7025842345587725,0.7516339869281046,0.0,0.36532790383267894,-0.7846293390699587,0.8288861265775975,0.7516339869281046,0.01284085180281181,0.3651021635703592,-0.8202850418692343,0.8288860652334356,0.7516339869281046,0.0,0.487643821590955,-0.587820411202694,0.6947965192297443,0.7516339869281046,0.022298615108272746,0.4871337275328862,-0.6342110787544767,0.6947961752986495,0.7516339869281046,0.0,0.36857940362075364,-0.7777075683344234,0.8250788759420531,0.7516339869281046,0.012527257578786484,0.3683664542150726,-0.8121647503009609,0.8250788203193934,0.7516339869281046
1,w256_g001,256,1,1,1057959139,ed87ac8b2edadf952c1119139292265ac3221fe2818e7b2561257f2c6925622f,0x43a2d62b,0x43a2d62b,True,-15,0.012888835424746503,0.012888835424746503,-0.5,0.5,0.162973135357441,0.12512934032834136,0.4449093771424542,0.23992233924662837,3.647794755699584,2.8774366648431213,False,False,255,229,0.8980392156862745,0.7677912071452838,0.8309140421804115,0.8636896541057567,0.09119987821719755,20.40385221879565,0.0,0.41787713578971664,0.030843600476941145,0.7685078408352233,0.738562091503268,0.01403464574638289,0.4176413884358096,-0.002743526751330333,0.7685077631973583,0.738562091503268,0.0,0.5013232581810698,0.02570962989331579,0.6814104279388156,0.738562091503268,0.009900936561994957,0.501225478850067,0.005961187108058657,0.6814104156318306,0.738562091503268,0.0,0.41014679985121727,0.0314249323155075,0.7771845406946549,0.738562091503268,0.013747032017050196,0.4099163531001375,-0.002093589547753528,0.7771844669991119,0.738562091503268,0.0,0.482696045203773,0.026701763051125486,0.6997271978595798,0.738562091503268,0.008484883023524714,0.48262146534881767,0.00912506533052525,0.6997271904475898,0.738562091503268
1,w256_g002,256,2,2,2417741,8be72e68570b45ace2f6c476c83199b8859137a91d9f4a9e4971cbb0b7e0bf28,0x43c7b3f6,0x43c7b3f5,False,-15,0.531834283940043,0.531834283940043,-0.5,0.5,0.18274235363517968,0.07781272764717309,0.5206152574417253,0.16732433974331445,4.161306381873153,2.942312241248151,False,False,255,240,0.9411764705882353,0.4258056553354656,0.8265279704572529,0.7362762930820875,0.07582960238409356,24.07413483989476,0.0,0.4341490922507324,1.2250037911697276,0.7505466236362297,0.7516339869281046,0.026758476988895503,0.4333236875724309,1.1655854997927455,0.7505456687682672,0.7516339869281046,0.0,0.38965352933231867,1.3648902009211996,0.8005749198194092,0.7516339869281046,0.018015863690084472,0.38923681940000543,1.3200663314482712,0.8005746880450619,0.7516339869281046,0.0,0.43516297433411144,1.2221496664642906,0.7494418801902427,0.7516339869281046,0.027012765944680234,0.43432375563320097,1.162316155742812,0.7494408932971103,0.7516339869281046,0.0,0.3970843361377368,1.3393484344231734,0.7920340811126558,0.7516339869281046,0.019419919600698207,0.3966091737827676,1.291988179325389,0.792033774260785,0.7516339869281046
1,w256_g003,256,3,3,1980357211,55be2b5564fca62728a4c1bcd032f2604fd0d51b06a832cc4a39af58dd9d6e36,0x43e094bf,0x43e094bf,True,-15,0.11562345541733521,0.11562345541733521,-0.5,0.5,0.19534998888856325,0.1023302587862407,0.5745574094622248,0.2633829133792151,4.521151872857453,3.6249701385677384,False,False,255,231,0.9058823529411765,0.5238303793537181,0.7731849258144974,0.71256212513821,0.06821623627297255,27.060923519512425,0.0,0.4530314299739898,0.25522170818032114,0.730266369836563,0.7320261437908496,0.019387122101740668,0.4526164115903114,0.21262227981848672,0.7302661310398543,0.7320261437908496,0.0,0.4519454912890148,0.25583495719264765,0.7314154696855018,0.7320261437908496,0.010571840009435441,0.45182182693544565,0.23250672974439787,0.7314154484664912,0.7320261437908496,0.0,0.46172609563814027,0.2504156826083977,0.7211441221547761,0.7320261437908496,0.020214140238276435,0.4612834008802704,0.2068344861249906,0.7211438528940183,0.7320261437908496,0.0,0.5034025577225736,0.22968388547810198,0.6794074198465907,0.7320261437908496,0.013341808102850745,0.5032257259701413,0.20325202396459618,0.6794073797616467,0.7320261437908496
1,w256_g004,256,4,4,395027572,6e89c525775656afd0c867581365cf99d1e2cae0f5219910e8680456a99c65ca,0x43b04e10,0x43b04e11,False,-15,-0.6362284573015131,0.6362284573015131,-0.5,0.5,0.16526443169690197,0.12309738155381905,0.4509427807376364,0.2191943951810364,3.749105320002861,2.674520355310965,False,False,255,231,0.9058823529411765,0.744851026260641,0.8193938966554118,0.877946511148301,0.08803355100001987,20.233112624791893,0.0,0.41233190151516685,-1.543000808241151,0.774723089058255,0.75,0.017258532772646114,0.4119705572655026,-1.5862468289281328,0.7747229074641291,0.75,0.0,0.49023286522444715,-1.2978086587691824,0.692235237576317,0.75,0.019344151915354196,0.4898510650522735,-1.3383100619509916,0.6922350458180568,0.75,0.0,0.4039524846481416,-1.5750081543766044,0.7841983997331532,0.75,0.01696024903718652,0.4035962831915127,-1.6184210151131433,0.7841982251080213,0.75,0.0,0.45550762402209516,-1.3967460120286632,0.7276542112647566,0.75,0.018846965034322604,0.4551175534422392,-1.4393543324823088,0.727654000812621,0.75
1,w256_g005,256,5,0,1969590685,5a5b024504ad6a549061a46040f69cd154d5af88cf15478cd5acd994b22f4582,0x439b2ee6,0x439b2ee5,False,-15,0.8119701291543606,0.8119701291543606,-0.5,0.5,0.1732213777898394,0.13857367461906067,0.4771308327270649,0.2874059312333366,3.620121334899528,2.8930704342055877,False,False,255,239,0.9372549019607843,0.7999802125300318,0.8719574257740736,0.8926509093932343,0.09076912660343477,20.208530655774823,0.0,0.41960626622481434,1.935076271523857,0.7665792321447698,0.7516339869281046,0.01880101412810107,0.4191848524492324,1.8921702690159121,0.766578983821089,0.7516339869281046,0.0,0.5144995888845338,1.5781744955613295,0.668858937833942,0.7516339869281046,0.018084063396645842,0.5141816737432602,1.5439796988060603,0.6688588112763085,0.7516339869281046,0.0,0.4139391798522913,1.9615686764516986,0.7729169326696903,0.7516339869281046,0.018928303899444995,0.41350618366389374,1.9178475596861115,0.7729166715397682,0.7516339869281046,0.0,0.5126814734424264,1.583771154635928,0.6705708855074373,0.7516339869281046,0.017424991224668167,0.5123852680277973,1.5506791227389227,0.6705707752080625,0.7516339869281046
1,w256_g006,256,6,1,1638269948,275497743c21ffb869b548f8f9b770554c3c1548b6f959b72ead1de82c968b95,0x43cbd4c8,0x43cbd4c8,True,-15,0.28363845993317227,0.28363845993317227,-0.5,0.5,0.20505516810247426,0.13372284737630807,0.5921205614015084,0.26021403225036593,4.311805531753641,3.1981275450889424,False,False,255,235,0.9215686274509803,0.6521310758160527,0.812789398135904,0.8373974146059519,0.07601264601880706,22.421047213447586,0.0,0.46873346260310045,0.6051167295758929,0.7138946151013963,0.738562091503268,0.015742684951349794,0.4684690244129431,0.5718537641149982,0.7138945198899501,0.738562091503268,0.0,0.5182521157974368,0.5472982189310246,0.6653456841859124,0.738562091503268,0.010235274820975464,0.5181510346200796,0.527651527923055,0.6653456715022379,0.738562091503268,0.0,0.4731606490146808,0.5994548796985266,0.7093622254418053,0.738562091503268,0.015859088973929885,0.4728947970457181,0.5662556928774038,0.7093621298112598,0.738562091503268,0.0,0.5026940597682819,0.5642367448382345,0.6800889824459659,0.738562091503268,0.008836410275443608,0.5026163900826962,0.5467431127992365,0.6800889747024013,0.738562091503268
1,w256_g007,256,7,2,496817694,f48fccc34b5f55c5500e5a1bb02e103e300441f0219a84f043b20eb1e66515e7,0x43917793,0x43917793,True,-15,-0.4661367412636537,0.4661367412636537,-0.5,0.5,0.15049763002112287,0.13221916006746598,0.39401524263819854,0.27613097132923864,3.243752117079571,2.716864222355075,False,False,255,233,0.9137254901960784,0.8785464598273645,0.8738371271906987,0.9060083773451739,0.1082168065974181,17.474946697581306,0.0,0.39398902177596073,-1.1831211417071394,0.7955842197900371,0.7516339869281046,0.024283239009931866,0.39323996946287765,-1.2471264834636342,0.7955834627401903,0.7516339869281046,0.0,0.507926055274687,-0.917725594942292,0.6750787910601357,0.7516339869281046,0.02348426457769054,0.5073828603176792,-0.9649931917975825,0.6750784161944424,0.7516339869281046,0.0,0.3785733186281087,-1.2312984521805743,0.8134146375837676,0.7516339869281046,0.023499959905022502,0.3778432339761583,-1.295872618959142,0.8134139528376316,0.7516339869281046,0.0,0.5101063807597768,-0.9138030004042831,0.6730065249972426,0.7516339869281046,0.0249474078945331,0.5094959730274442,-0.963862670474403,0.6730060537775902,0.7516339869281046
1,w256_g008,256,8,3,1795070972,0589f7529e5a2d1e8c013f0dd167cd29dd9754604c22ed366a8887f8b64b28db,0x439da9f0,0x439da9f0,True,-15,-0.21231373346654436,0.21231373346654436,-0.5,0.5,0.1540612419294104,0.05963921290609947,0.4111857673187398,0.13396275999963042,3.47188412983815,2.4931510631286113,False,False,255,232,0.9098039215686274,0.3871136708960562,0.8536242796674564,0.7641434963003308,0.08538255864437083,21.410563072118148,0.0,0.4023169543915764,-0.5277275321086735,0.7860589055497305,0.7320261437908496,0.01721683618913093,0.40194839512374014,-0.5710448715313668,0.7860587190909893,0.7320261437908496,0.0,0.34502453044631876,-0.6153583723218126,0.8527105350807407,0.7320261437908496,0.008070761199112172,0.344930122522475,-0.6389250467717463,0.8527105259986096,0.7320261437908496,0.0,0.390604050491479,-0.5435523087878884,0.799479007245204,0.7320261437908496,0.017100452257005485,0.3902295462839221,-0.5878954782081861,0.7994788195436606,0.7320261437908496,0.0,0.35901588311092947,-0.5913769932037888,0.8362882744761251,0.7320261437908496,0.009515090745687575,0.35888977050624044,-0.6180973726259349,0.8362882561085043,0.7320261437908496
1,w256_g009,256,9,4,612380784,1effe921c36b885a5688e0d738b1475aabe421dcd9a7665de5406860afc87f7b,0x43900f74,0x43900f74,True,-15,-0.3344101345028321,0.3344101345028321,-0.5,0.5,0.14902515438609337,0.11010363419451762,0.3924253903319733,0.18637548813698318,3.291419136887276,2.3117892701084237,False,False,255,228,0.8941176470588236,0.7388258354644066,0.8562592482613415,0.9106004302232099,0.0967315419697189,21.07978679908329,0.0,0.3915498210111271,-0.8540679028769848,0.7983895281502036,0.75,0.01638867958848848,0.3912066889959725,-0.8967096523621355,0.7983893701774465,0.75,0.0,0.4636378065072917,-0.7212745160323175,0.7191572102551689,0.75,0.018294734602651425,0.4632767189366539,-0.7613265564370192,0.7191570315379706,0.75,0.0,0.37683229380736116,-0.8874242998764444,0.8154417554222237,0.75,0.015821587417129135,0.37650000667691835,-0.9302303206079398,0.8154416144901089,0.75,0.0,0.42002517825105307,-0.7961668771745677,0.7661126835634247,0.75,0.017378852582385595,0.4196654928008123,-0.8382604553388641,0.7661125026196336,0.75
