dataset,method,ideal_tail_logit,stored_tail_logit,stored_tail_logit_error,ideal_tail_exponential,computed_tail_exponential,tail_exp_relative_error,nonzero_tail_count,ideal_reference_sum,stage_reference_sum,predicted_sum,computed_sum,pre_reduction_error,summation_error,total_error,probability_sum_high_precision,mass_residual,probability_l1_error,total_variation,prediction_matched
favorable_0_tail_tail,sequential,-16.635532333438686,-16.63553237915039,-4.5711704643736084e-08,5.960464477539063e-08,5.9604641222676946e-08,-5.960464477539063e-08,2,1.0000001192092896,1.0000001192092824,1.0,1.0,-7.105427357601002e-15,-1.1920928244535389e-07,-1.1920928955078125e-07,1.0000001192092824,1.1920928244535389e-07,1.192092824453522e-07,5.96046412226761e-08,True
favorable_0_tail_tail,pairwise,-16.635532333438686,-16.63553237915039,-4.5711704643736084e-08,5.960464477539063e-08,5.9604641222676946e-08,-5.960464477539063e-08,2,1.0000001192092896,1.0000001192092824,1.0000001192092896,1.0000001192092896,-7.105427357601002e-15,7.105427357601002e-15,0.0,0.9999999999999787,-2.1316282072803006e-14,2.13162837668689e-14,1.065814188343445e-14,True
favorable_0_tail_tail,compensated,-16.635532333438686,-16.63553237915039,-4.5711704643736084e-08,5.960464477539063e-08,5.9604641222676946e-08,-5.960464477539063e-08,2,1.0000001192092896,1.0000001192092824,1.0000001192092896,1.0000001192092896,-7.105427357601002e-15,7.105427357601002e-15,0.0,0.9999999999999787,-2.1316282072803006e-14,2.13162837668689e-14,1.065814188343445e-14,True
unfavorable_tail_0_tail,sequential,-16.635532333438686,-16.63553237915039,-4.5711704643736084e-08,5.960464477539063e-08,5.9604641222676946e-08,-5.960464477539063e-08,2,1.0000001192092896,1.0000001192092824,1.0,1.0,-7.105427357601002e-15,-1.1920928244535389e-07,-1.1920928955078125e-07,1.0000001192092824,1.1920928244535389e-07,1.192092824453522e-07,5.96046412226761e-08,True
unfavorable_tail_0_tail,pairwise,-16.635532333438686,-16.63553237915039,-4.5711704643736084e-08,5.960464477539063e-08,5.9604641222676946e-08,-5.960464477539063e-08,2,1.0000001192092896,1.0000001192092824,1.0,1.0,-7.105427357601002e-15,-1.1920928244535389e-07,-1.1920928955078125e-07,1.0000001192092824,1.1920928244535389e-07,1.192092824453522e-07,5.96046412226761e-08,True
unfavorable_tail_0_tail,compensated,-16.635532333438686,-16.63553237915039,-4.5711704643736084e-08,5.960464477539063e-08,5.9604641222676946e-08,-5.960464477539063e-08,2,1.0000001192092896,1.0000001192092824,1.0000001192092896,1.0000001192092896,-7.105427357601002e-15,7.105427357601002e-15,0.0,0.9999999999999787,-2.1316282072803006e-14,2.13162837668689e-14,1.065814188343445e-14,True
