experiment_id,preregistration_sha256,graph_id,leaf_depths_json,exact_stored_leaf_sum_fraction,margin_fraction,depth_exposure_D_fraction,risk_score_R_fraction,proxy_matched_preregistration,correctly_rounded_target_bits,oracle_output_bits,oracle_signed_graph_error_fraction,oracle_local_error_sum_fraction,correct_rounding_failure,hand_conjecture_matched_oracle
depth_margin_topology_challenge_v1,63fbe76d7af9f5df128c1fdfade6ca49fc1d4e26c472ea9914888a3ee28f9949,midpoint_then_remainder,"[2, 2, 2, 2]",536870945/536870912,1/536870912,536870945/268435456,536870945/8388608,True,0x3f800001,0x3f800000,-33/536870912,-33/536870912,1,True
depth_margin_topology_challenge_v1,63fbe76d7af9f5df128c1fdfade6ca49fc1d4e26c472ea9914888a3ee28f9949,half_q_then_midpoint_plus_half_q,"[2, 2, 2, 2]",536870945/536870912,1/536870912,536870945/268435456,536870945/8388608,True,0x3f800001,0x3f800001,31/536870912,31/536870912,0,True
