schema_version,width,seed,candidate_count,target_unique,random_expected_regret,catalog_best_target,catalog_worst_target,correctly_rounded_bits,score_static_index,score_static_family,score_static_target,score_static_abs_error_ulp,score_static_correct_hit,score_static_output_bits,score_static_regret,score_static_best_hit,q_static_index,q_static_family,q_static_target,q_static_abs_error_ulp,q_static_correct_hit,q_static_output_bits,q_static_regret,q_static_best_hit,oracle_static_index,oracle_static_family,oracle_static_target,oracle_static_abs_error_ulp,oracle_static_correct_hit,oracle_static_output_bits,oracle_static_regret,oracle_static_best_hit,representative_1_index,representative_1_family,representative_1_target,representative_1_abs_error_ulp,representative_1_correct_hit,representative_1_output_bits,representative_1_regret,representative_1_best_hit,per_input_beam_index,per_input_beam_family,per_input_beam_target,per_input_beam_abs_error_ulp,per_input_beam_correct_hit,per_input_beam_output_bits,per_input_beam_regret,per_input_beam_best_hit,per_input_q_index,per_input_q_family,per_input_q_target,per_input_q_abs_error_ulp,per_input_q_correct_hit,per_input_q_output_bits,per_input_q_regret,per_input_q_best_hit,score_static_r1_index,score_static_r1_regret,score_static_r2_index,score_static_r2_regret,score_static_r4_index,score_static_r4_regret,score_static_r8_index,score_static_r8_regret,score_static_r16_index,score_static_r16_regret,score_static_r32_index,score_static_r32_regret,balanced_fp32_target,balanced_fp32_abs_error_ulp,balanced_fp32_correct_hit,balanced_fp32_output_bits,sequential_fp32_target,sequential_fp32_abs_error_ulp,sequential_fp32_correct_hit,sequential_fp32_output_bits,fp64_then_fp32_target,fp64_then_fp32_abs_error_ulp,fp64_then_fp32_correct_hit,fp64_then_fp32_output_bits,kahan_fp32_target,kahan_fp32_abs_error_ulp,kahan_fp32_correct_hit,kahan_fp32_output_bits,input_group_id
1,256,1484066434,64,2,0.46875,0.1583042104342751,0.3625549774864196,0x4382e08b,34,contiguous,0.3625549774864196,0.6021253835260723,0,1132650636,1.0,0,34,contiguous,0.3625549774864196,0.6021253835260723,0,1132650636,1.0,0,46,contiguous,0.3625549774864196,0.6021253835260723,0,1132650636,1.0,0,13,pair_merge,0.1583042104342751,0.39787461647392774,1,1132650635,0.0,1,56,contiguous,0.3625549774864196,0.6021253835260723,0,1132650636,1.0,0,58,contiguous,0.1583042104342751,0.39787461647392774,1,1132650635,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,1.0,0.3625549774864196,0.6021253835260723,0,1132650636,0.1583042104342751,0.39787461647392774,1,1132650635,0.1583042104342751,0.39787461647392774,1,1132650635,0.1583042104342751,0.39787461647392774,1,1132650635,wr256_reuse_confirm_g000
1,256,1718891183,64,4,0.09065593863405044,0.011615194476802078,3.5805199478910468,0x43f48366,34,contiguous,0.7960675711839243,0.8922261883535612,0,1140097893,0.21980199274207712,0,34,contiguous,0.7960675711839243,0.8922261883535612,0,1140097893,0.21980199274207712,0,46,contiguous,0.011615194476802078,0.10777381164643884,1,1140097894,0.0,1,13,pair_merge,0.7960675711839243,0.8922261883535612,0,1140097893,0.21980199274207712,0,35,pair_merge,0.011615194476802078,0.10777381164643884,1,1140097894,0.0,1,26,contiguous,0.011615194476802078,0.10777381164643884,1,1140097894,0.0,1,13,0.21980199274207712,13,0.21980199274207712,6,0.0,6,0.0,26,0.0,34,0.21980199274207712,0.011615194476802078,0.10777381164643884,1,1140097894,23.933877078012415,4.892226188353561,0,1140097889,0.011615194476802078,0.10777381164643884,1,1140097894,0.011615194476802078,0.10777381164643884,1,1140097894,wr256_reuse_confirm_g001
1,256,1593200661,64,3,0.1355871684102521,0.012809747018904987,1.2391700528934553,0x43b6b91e,34,contiguous,0.012809747018904987,0.11318015293727512,1,1136048414,0.0,1,34,contiguous,0.012809747018904987,0.11318015293727512,1,1136048414,0.0,1,46,contiguous,0.012809747018904987,0.11318015293727512,1,1136048414,0.0,1,13,pair_merge,0.012809747018904987,0.11318015293727512,1,1136048414,0.0,1,17,pair_merge,0.012809747018904987,0.11318015293727512,1,1136048414,0.0,1,26,contiguous,0.012809747018904987,0.11318015293727512,1,1136048414,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.012809747018904987,0.11318015293727512,1,1136048414,4.465530358768006,2.113180152937275,0,1136048412,0.012809747018904987,0.11318015293727512,1,1136048414,0.012809747018904987,0.11318015293727512,1,1136048414,wr256_reuse_confirm_g002
1,256,950737884,64,4,0.053922427311590054,0.044683947590357126,3.1991408313356544,0x43b00328,34,contiguous,0.044683947590357126,0.21138577906367573,1,1135608616,0.0,1,34,contiguous,0.044683947590357126,0.21138577906367573,1,1135608616,0.0,1,46,contiguous,0.044683947590357126,0.21138577906367573,1,1135608616,0.0,1,13,pair_merge,0.044683947590357126,0.21138577906367573,1,1135608616,0.0,1,41,pair_merge,0.044683947590357126,0.21138577906367573,1,1135608616,0.0,1,2,contiguous,0.6219123894630056,0.7886142209363243,0,1135608615,0.18298821735274545,0,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.044683947590357126,0.21138577906367573,1,1135608616,14.353597715080952,3.7886142209363243,0,1135608612,0.044683947590357126,0.21138577906367573,1,1135608616,0.044683947590357126,0.21138577906367573,1,1135608616,wr256_reuse_confirm_g003
1,256,1770464738,64,3,0.062302091744107134,0.04035588947666049,1.4421313963292335,0x4395e41e,34,contiguous,0.04035588947666049,0.2008877534262865,1,1133896734,0.0,1,34,contiguous,0.04035588947666049,0.2008877534262865,1,1133896734,0.0,1,46,contiguous,0.04035588947666049,0.2008877534262865,1,1133896734,0.0,1,13,pair_merge,0.04035588947666049,0.2008877534262865,1,1133896734,0.0,1,19,pair_merge,0.04035588947666049,0.2008877534262865,1,1133896734,0.0,1,6,contiguous,0.04035588947666049,0.2008877534262865,1,1133896734,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.04035588947666049,0.2008877534262865,1,1133896734,1.4421313963292335,1.2008877534262865,0,1133896733,0.04035588947666049,0.2008877534262865,1,1133896734,0.04035588947666049,0.2008877534262865,1,1133896734,wr256_reuse_confirm_g004
1,256,1599130610,64,3,0.1963229859892438,0.06717446175723883,1.5855351923580003,0x43b108af,34,contiguous,0.06717446175723883,0.2591803653003808,1,1135675567,0.0,1,34,contiguous,0.06717446175723883,0.2591803653003808,1,1135675567,0.0,1,46,contiguous,0.06717446175723883,0.2591803653003808,1,1135675567,0.0,1,13,pair_merge,0.5488137311564772,0.7408196346996192,0,1135675568,0.3172100408633927,0,13,pair_merge,0.5488137311564772,0.7408196346996192,0,1135675568,0.3172100408633927,0,55,pair_merge,0.06717446175723883,0.2591803653003808,1,1135675567,0.0,1,13,0.3172100408633927,13,0.3172100408633927,6,0.3172100408633927,6,0.3172100408633927,26,0.3172100408633927,34,0.0,0.06717446175723883,0.2591803653003808,1,1135675567,3.0304530005557155,1.7408196346996192,0,1135675569,0.06717446175723883,0.2591803653003808,1,1135675567,0.06717446175723883,0.2591803653003808,1,1135675567,wr256_reuse_confirm_g005
1,256,1165967595,64,2,0.609375,0.1943607001447988,0.31263353112980513,0x4388941b,34,contiguous,0.1943607001447988,0.44086358450749685,1,1133024283,0.0,1,34,contiguous,0.1943607001447988,0.44086358450749685,1,1133024283,0.0,1,46,contiguous,0.31263353112980513,0.5591364154925031,0,1133024282,1.0,0,13,pair_merge,0.31263353112980513,0.5591364154925031,0,1133024282,1.0,0,46,contiguous,0.31263353112980513,0.5591364154925031,0,1133024282,1.0,0,52,contiguous,0.31263353112980513,0.5591364154925031,0,1133024282,1.0,0,13,1.0,13,1.0,6,1.0,6,1.0,26,0.0,34,0.0,0.31263353112980513,0.5591364154925031,0,1133024282,0.31263353112980513,0.5591364154925031,0,1133024282,0.1943607001447988,0.44086358450749685,1,1133024283,0.1943607001447988,0.44086358450749685,1,1133024283,wr256_reuse_confirm_g006
1,256,1006144546,64,5,0.08570996913014381,0.00472542573855867,4.279692354326232,0x43de64ca,34,contiguous,0.00472542573855867,0.06874173214691837,1,1138648266,0.0,1,34,contiguous,0.00472542573855867,0.06874173214691837,1,1138648266,0.0,1,46,contiguous,0.00472542573855867,0.06874173214691837,1,1138648266,0.0,1,13,pair_merge,0.00472542573855867,0.06874173214691837,1,1138648266,0.0,1,26,contiguous,0.00472542573855867,0.06874173214691837,1,1138648266,0.0,1,25,pair_merge,0.00472542573855867,0.06874173214691837,1,1138648266,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.00472542573855867,0.06874173214691837,1,1138648266,1.1422088900323955,1.0687417321469184,0,1138648265,0.00472542573855867,0.06874173214691837,1,1138648266,0.00472542573855867,0.06874173214691837,1,1138648266,wr256_reuse_confirm_g007
1,256,625171054,64,3,0.054643881006582615,0.1545269623734037,2.5821302573480915,0x43b0a37a,34,contiguous,0.1545269623734037,0.39309917625632806,1,1135649658,0.0,1,34,contiguous,0.1545269623734037,0.39309917625632806,1,1135649658,0.0,1,46,contiguous,0.1545269623734037,0.39309917625632806,1,1135649658,0.0,1,13,pair_merge,0.1545269623734037,0.39309917625632806,1,1135649658,0.0,1,2,contiguous,0.1545269623734037,0.39309917625632806,1,1135649658,0.0,1,11,pair_merge,0.1545269623734037,0.39309917625632806,1,1135649658,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.1545269623734037,0.39309917625632806,1,1135649658,5.726923667398716,2.393099176256328,0,1135649660,0.1545269623734037,0.39309917625632806,1,1135649658,0.1545269623734037,0.39309917625632806,1,1135649658,wr256_reuse_confirm_g008
1,256,929365157,64,4,0.10581618101429306,0.034414515664068245,3.2923685261020386,0x43fd65e6,34,contiguous,0.034414515664068245,0.18551149739050743,1,1140680166,0.0,1,34,contiguous,0.034414515664068245,0.18551149739050743,1,1140680166,0.0,1,46,contiguous,0.034414515664068245,0.18551149739050743,1,1140680166,0.0,1,13,pair_merge,0.034414515664068245,0.18551149739050743,1,1140680166,0.0,1,7,pair_merge,0.034414515664068245,0.18551149739050743,1,1140680166,0.0,1,28,contiguous,0.034414515664068245,0.18551149739050743,1,1140680166,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.034414515664068245,0.18551149739050743,1,1140680166,7.921345531321023,2.8144885026094926,0,1140680163,0.034414515664068245,0.18551149739050743,1,1140680166,0.034414515664068245,0.18551149739050743,1,1140680166,wr256_reuse_confirm_g009
