schema_version,input_group_id,width,seed,tree_index,graph_family,graph_sha256,q_score,beam_score,shortlisted,cascade_rank,q_rank,target_squared_root_ulp,normalized_regret
1,wr256_reuse_cal_g000,256,1043547948,25,pair_merge,a1b508b2c2e6527d024cf6de56da4469c103a402bb2e6a866c0fe6d2d175d085,0.13932291666666666,0.17978775325406707,1,2,1,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,26,contiguous,a9f4dd15f65ce73a7294896ebc1a2506fd3c78cfd3636fca9beac10f5f833228,0.14713541666666666,,0,5,5,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,27,pair_merge,17b637d97f3e13fd113d119391dd729bdde45678f09a4c97ee66bc9a11be4b69,0.22135416666666666,,0,32,32,0.3452017278478901,0.0959368946287281
1,wr256_reuse_cal_g000,256,1043547948,28,contiguous,89b703d4e54bbc43696dc27515fae342be149e9151620bed49bf93b1c4e5f60a,0.22135416666666666,,0,33,33,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,29,pair_merge,d69d36b11f7f117bf231ea862477d84900b5f55e5d65f4362108ff4f7fa8de7e,0.17838541666666666,,0,17,17,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,30,contiguous,f3f169f3c321fe45fbc4a86eb50b6c8142c063aee3b7a7f271d1ee35310d98b9,0.3229166666666667,,0,61,61,0.3452017278478901,0.0959368946287281
1,wr256_reuse_cal_g000,256,1043547948,31,pair_merge,ca79fae2b1497f724446620da058ba92fe683465b07649a50e5d9da9d9da2ca2,0.2760416666666667,,0,53,53,0.3452017278478901,0.0959368946287281
1,wr256_reuse_cal_g000,256,1043547948,32,contiguous,bf4975fde47c653de2c65a9f089970b225a39103bb0ff54deae53aba6d75d427,0.23697916666666666,,0,43,43,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,33,pair_merge,4e7d0283b55f18f3f00573384038ae3aaf68c853675bf1270d6f00621140f449,0.22526041666666666,,0,37,37,0.3452017278478901,0.0959368946287281
1,wr256_reuse_cal_g000,256,1043547948,34,contiguous,b5fc3c1722b1a4171a0f19cb4526a091d11d787ca39d348549a4a2c7244d4c11,0.16276041666666666,,0,9,9,0.3452017278478901,0.0959368946287281
1,wr256_reuse_cal_g000,256,1043547948,35,pair_merge,3f6b3f522f6b185ab3424e0e7f56144d17a37ddcfd6e0cf5174ece140c4e4804,0.2838541666666667,,0,54,54,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,36,contiguous,a162db968f11316e18005727b5da30da5235f015c9fe94bff0456fa2fadf5a3e,0.24479166666666666,,0,47,47,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,37,pair_merge,d3da1e88d9e52c40837252eef28fa3bb2a7c18c289b9acbba7e8900d2200caf1,0.24479166666666666,,0,48,48,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,38,contiguous,e3880fe708b46c51578357ac20d809b5e042df9149ff36fbe7b6b8a1072c2c3c,0.24479166666666666,,0,49,49,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,39,pair_merge,0782e9226bef687df2deab1fca1cf54818f0476ec80987f572a5c86a39c2929a,0.19791666666666666,,0,25,25,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,40,contiguous,e689005b4ca1aaa478973420d1f7f96147046ebb6bb09036a28224aebe673cb2,0.15104166666666666,,0,6,6,0.1701243212947897,0.0
1,wr256_reuse_cal_g000,256,1043547948,41,pair_merge,4e0448079a34d5206f08871899105b43e36b12d30c2c0ecc2ad9a630f5f851b5,0.18229166666666666,,0,21,21,0.3452017278478901,0.0959368946287281
1,wr256_reuse_cal_g000,256,1043547948,42,contiguous,457fdd438befdd28424c550264e7bc463fdfd0ce37c42a861469a6c0ac29d800,0.19401041666666666,,0,22,22,0.1701243212947897,0.0
