h,sigma,rho,n_samples,n_trials,seed,empirical_mean,empirical_bias,empirical_variance,empirical_random_std,empirical_rmse,theoretical_bias,theoretical_variance,theoretical_random_std,theoretical_rmse
0.001,0.001,0.0,100,2000,20260728,0.998716165341825,-0.0012838346581750537,0.005009212879220905,0.07077579303138118,0.07078743610733783,1.6666667512765798e-07,0.005,0.07071067811865475,0.07071067811885118
0.001188502227437019,0.001,0.0,100,2000,20260729,0.9991441876034545,-0.00085581239654553,0.0035745784325593175,0.05978777828753396,0.05979390309569529,2.3542294069756053e-07,0.003539728921920686,0.05949562103147328,0.05949562103193906
0.001412537544622754,0.001,0.0,100,2000,20260730,0.9997276451167287,-0.0002723548832712641,0.00245716980989123,0.0495698477896718,0.04957059599272205,3.325437523127306e-07,0.0025059361681363623,0.050059326485045345,0.050059326486149885
0.0016788040181225606,0.001,0.0,100,2000,20260731,0.9998818478185674,-0.00011815218143262918,0.0017634221738861418,0.041993120554278195,0.04199328677091279,4.697305546752517e-07,0.0017740669461678768,0.042119674098547784,0.042119674101167064
0.001995262314968879,0.001,0.0,100,2000,20260732,0.9994611737374942,-0.0005388262625057871,0.0013352122266057343,0.03654055591538988,0.03654452845976946,6.635120830544849e-07,0.0012559432157547908,0.03543928915419708,0.03543928916040838
0.0023713737056616554,0.001,0.0,100,2000,20260733,0.9998099006446112,-0.0001900993553888286,0.0008662861057085683,0.02943273867156382,0.029433352569381007,9.372358054093866e-07,0.0008891397050194614,0.02981844571770067,0.02981844573242999
0.002818382931264455,0.001,0.0,100,2000,20260734,1.0013587924965957,0.001358792496595651,0.0006503950034273742,0.025502843045969878,0.025539015652060255,1.3238809171145505e-06,0.0006294627058970832,0.025089095358284307,0.025089095393213044
0.003349654391578276,0.001,0.0,100,2000,20260735,0.9992651059705104,-0.0007348940294895634,0.0004504301453352602,0.021223339636712697,0.021236059299451944,1.8700318062947474e-06,0.0004456254690668729,0.021109842942733444,0.021109843025562552
0.003981071705534973,0.001,0.0,100,2000,20260736,1.0006095880177113,0.0006095880177112711,0.00032080300058998876,0.01791097430599432,0.017921344763753806,2.641490747246067e-06,0.0003154786722400965,0.01776171929290902,0.01776171948932788
0.0047315125896148025,0.001,0.0,100,2000,20260737,0.9999891878511198,-1.0812148880212646e-05,0.00023486018190922554,0.01532514867494686,0.015325152489022383,3.731206074109039e-06,0.00022334179607548174,0.01494462432031939,0.01494462478610221
