case_name,preregistration_sha256,input_hash,graph_name,leaf_count,exact_leaf_sum_fraction,correctly_rounded_target_bits,preregistered_output_bits,semantic_predicted_output_bits,actual_output_bits,preregistered_signed_error_fraction,semantic_predicted_signed_error_fraction,actual_signed_error_fraction,prediction_matched_preregistration,prediction_matched_observation,preregistered_candidate_correctly_rounded,observed_candidate_correctly_rounded
nonuniform_positive_v1,0c8047f38363c02ef6a6995bcc58a3f890dfebe7395aa5eb62a5cb671d6e47a6,ad503c1c937d0abcd77e7342f084173d658b1f090813f2f2b336c82cc9285dbc,sequential_left_to_right,5,134217737/134217728,0x3f800001,0x3f800001,0x3f800001,0x3f800001,7/134217728,7/134217728,7/134217728,True,True,True,True
nonuniform_positive_v1,0c8047f38363c02ef6a6995bcc58a3f890dfebe7395aa5eb62a5cb671d6e47a6,ad503c1c937d0abcd77e7342f084173d658b1f090813f2f2b336c82cc9285dbc,balanced_contiguous_floor_half,5,134217737/134217728,0x3f800001,0x3f800000,0x3f800000,0x3f800000,-9/134217728,-9/134217728,-9/134217728,True,True,False,False
