dataset,method,element_count,reference_sum,predicted_sum,computed_sum,absolute_error,relative_error,prediction_matched
favorable_1_u_u,sequential,3,1.0000001192092896,1.0,1.0,-1.1920928955078125e-07,-1.1920927533992823e-07,True
favorable_1_u_u,pairwise,3,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0,0.0,True
favorable_1_u_u,compensated,3,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0,0.0,True
unfavorable_u_1_u,sequential,3,1.0000001192092896,1.0,1.0,-1.1920928955078125e-07,-1.1920927533992823e-07,True
unfavorable_u_1_u,pairwise,3,1.0000001192092896,1.0,1.0,-1.1920928955078125e-07,-1.1920927533992823e-07,True
unfavorable_u_1_u,compensated,3,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0,0.0,True
